VB_ID,ID_Num,FIRE_NAME,FIRE_YEAR,WFU,Veg,AGENCY,ICS_CODE,PCT_FS,FIRESIZE_HA,BA90_HA,BA90_PCT,MaxPatch_HA,IGNITION_DATE,CONT_DATE,sdc,MSI,AWMSI,MPFD,AWMPFD,max_tmmx,max_tmmn,min_rmax,max_bi
1987BLAKE,76,BLAKE,1987,no,Forest,USF,SRF,99.5,1413,345,24.4,281,19870830,19870905.0,0.005126749584454998,0.05773093426402803,0.011509796478246763,1.3555591734058205,1.3679188004935714,34.40627441406252,14.704034423828148,41.05104064941406,67.86932373046875
1987CEDAR,78,CEDAR,1987,no,Forest,USF,MDF,83.26,283,29,10.3,10,19870901,19870912.0,0.018898434187739507,0.0802004994359352,0.034666665986767715,1.3830079902607508,1.3573582677050287,29.267236328125023,13.027825927734398,39.405364990234375,65.87984466552734
1987CHAWANAKEE,79,CHAWANAKEE,1987,no,Forest,USF,SNF,100.0,713,48,6.7,12,19870622,19870626.0,0.019332546961180225,0.07479046118954483,0.03728812986769726,1.3745162186490898,1.3612426947230327,33.62014160156252,18.642633056640648,42.95486831665039,46.21198654174805
1987CHINA_KNF,81,CHINA,1987,no,Forest,USF,KNF,96.11,1332,112,8.4,25,19870830,19870907.0,0.012048355160107029,0.06823308802852585,0.024966593397814284,1.3614597779052477,1.3329970199006103,39.98052368164065,18.749688720703148,41.214630126953125,65.37039947509766
1987CHINA_SHF,82,CHINA,1987,no,Forest,USF,SHF,100.0,3696,726,19.6,380,19870830,19871013.0,0.005601785450088579,0.06770999045678902,0.015416307415899607,1.3703247971020016,1.3583984078952547,32.97390136718752,16.599786376953148,32.755165100097656,64.47223663330078
1987CLARK,129,PLUMAS NF #531 (CLARK),1987,no,Forest,CDF,BTU,73.47,15861,5351,33.7,781,19870830,19870905.0,0.0057071005000893064,0.07681045472866467,0.015472328808721634,1.3755711236365868,1.3835302858255827,29.548242187500023,17.085351562500023,31.112831115722656,74.1419906616211
1987CLAVEY_CMPLX,83,CLAVEY 87 CMPLX,1987,no,Forest,USF,STF,98.1,3537,708,20.0,324,19870831,19871012.0,0.008684926819678002,0.06399450033888726,0.018928587721342694,1.3610619801975805,1.3702829110922927,33.2525573730469,17.344903564453148,28.602567672729492,63.902435302734375
1987COLD,84,COLD,1987,no,Forest,USF,SHF,98.37,6678,387,5.8,96,19870830,19870911.0,0.011928618514110916,0.0737198123066832,0.02623026062744739,1.3691825409278764,1.3477213122906269,36.65804443359377,17.622827148437523,40.63200759887695,69.849151611328125
1987DOE,85,DOE,1987,no,Forest,USF,SHF,100.0,932,256,27.5,121,19870830,19870907.0,0.006821976061953764,0.06088724104726851,0.014212247022890038,1.363227281109451,1.3339148074959664,29.746270751953148,15.036035156250023,42.89353942871094,50.294769287109375
1987DOG_CREEK,86,DOG CREEK,1987,yes,Forest,NPS,KNP,0.0,170,11,6.3,4,19870708,19871027.0,0.02322684750555511,0.07422201029189665,0.04145657972269559,1.3731020074692248,1.3411052928282516,26.451074218750023,12.807214355468773,28.66457176208496,71.89899444580078
