VB_ID,ID_Num,FIRE_NAME,FIRE_YEAR,WFU,Veg,AGENCY,ICS_CODE,PCT_FS,FIRESIZE_HA,BA90_HA,BA90_PCT,MaxPatch_HA,IGNITION_DATE,CONT_DATE,q,TMAX,MAXTMIN,T_dist,MAX_WSF5,W_dist,max_tmmx,max_tmmn,min_rmax,max_bi,sdc_BA90_resid,sdc_BA90_maxtmmx_resid,sdc_BA90_maxbi_resid,lat,long
1987JARREL,107,JARREL,1987,no,Forest,"USF,NPS",STF,22.55,742,25,3.3,13,19870903,19870912.0,0.0149624928119349,NA,NA,NA,NA,NA,28.736016845703148,14.151422119140648,51.38935470581055,62.44171142578125,-0.06251768932873553,-0.10667280571914738,-0.07620898891035327,37.93084369,-119.87862412
1987JESSIE,109,JESSIE,1987,no,Forest,USF,SHF,61.0,1385,148,10.7,37,19870830,19870912.0,0.0117015515902741,NA,NA,NA,NA,NA,41.5682312011719,15.016564941406273,57.695556640625,68.78680419921875,-0.003822558592732804,0.2637004562427289,-0.007435237296937625,40.58813348,-123.46646573
1987KELSEY,110,KELSEY,1987,no,Forest,USF,KNF,96.4,1753,96,5.5,46,19870830,19870925.0,0.00924270677042257,37.8,12.8,25.3,NA,NA,37.57106933593752,18.907586669921898,34.854400634765625,76.87993621826172,-0.4536964422021296,-0.2816107289693938,-0.4445560549522041,41.65623719,-123.14326091
1987KING_TITUS,111,KING TITUS,1987,no,Forest,USF,KNF,99.21,28891,2092,7.2,132,19870830,19871018.0,0.0101770669558678,42.2,12.2,18.9,NA,NA,39.88448486328127,18.746453857421898,30.85841178894043,70.6072769165039,-0.28743701399186283,-0.059369773824703154,-0.2881972752874463,41.63417971,-123.38387598
1987LAKE,112,LAKE,1987,no,Forest,USF,KNF,99.79,7655,247,3.2,41,19870830,19870928.0,0.0131608523916823,42.2,12.2,18.5,NA,NA,33.41854248046877,18.005670166015648,32.70989227294922,77.97608184814453,-0.19493272343644363,-0.12376049953382548,-0.18407617850212465,41.74740469,-123.16547527
1987LARSON_CMPLX,113,LARSON 87 CMPLX,1987,no,Forest,USF,STF,93.35,19551,3752,19.2,754,19870830,19870910.0,0.00468796356409194,NA,NA,NA,NA,NA,34.87227783203127,16.753350830078148,39.65487289428711,59.336769104003906,-0.5687589252631228,-0.47091187202856083,-0.5872459166278511,37.73786133,-119.93125727
1987LAUREL,115,LAUREL,1987,no,Forest,USF,INF,85.1,469,112,23.9,51,19870830,19870904.0,0.0105148315692118,26.1,12.2,50.7,NA,NA,23.917108154296898,9.260095214843773,61.573265075683594,55.7755012512207,0.43244111069519253,0.2579265716786907,0.4083591454310796,37.61247403,-118.91200397
1987LAZYMAN,116,LAZYMAN,1987,no,Forest,USF,SHF,100.0,606,20,3.3,8,19870901,19870921.0,0.0199251883750033,37.8,12.2,30.0,NA,NA,31.944665527343773,15.485925292968773,43.33850860595703,58.80559539794922,0.22392039902765776,0.2587530373536375,0.204483044339639,40.09667555,-122.91635281
1987LIGHTNING120,117,LIGHTNING #120 (CRANK),1987,no,Forest,CDF,LMU,12.39,1725,853,49.5,661,19870831,19870908.0,0.00210651191497664,35.6,8.3,22.5,NA,NA,32.97744140625002,13.507989501953148,43.142513275146484,60.247005462646484,-0.1218366801989833,-0.08789088894102938,-0.13867379017174195,41.40668519,-121.17028278
1987LOST,118,LOST,1987,no,Forest,USF,LNF,95.64,9672,4685,48.4,1674,19870831,19870908.0,0.00164237596867033,37.8,12.2,19.5,NA,NA,34.83553466796877,13.046197509765648,42.95040512084961,66.25166320800781,-0.4159927112967721,-0.33567952908478754,-0.42334850096268944,40.77820434,-121.43032193
1987LOST_BEAR,119,LOST BEAR,1987,yes,Forest,NPS,YNP,0.0,809,33,4.1,5,19870723,19871120.0,0.0229766905876468,37.2,19.4,9.6,NA,NA,27.250268554687523,12.985650634765648,25.30154037475586,72.623321533203125,0.39933708018522873,0.31815149080129823,0.40174108479008974,37.66410975,-119.59542755
1987MAMMOTH,120,MAMMOTH,1987,no,Forest,USF,INF,99.82,183,36,19.8,36,19870822,19870825.0,0.00730380369389973,19.4,3.9,50.7,NA,NA,22.603295898437523,3.6214843750000227,69.76110076904297,61.463871002197266,-0.10067110593254987,-0.3051930012586249,-0.11579250879229316,37.65973404,-118.97726807
1987MENDENHALL,121,MENDENHALL,1987,no,Forest,CDF,MEU,57.86,21919,8586,39.2,4875,19870831,19870917.0,0.00114660561368948,41.7,15.6,21.4,NA,NA,38.05486450195315,17.554711914062523,48.40659713745117,60.30253601074219,-1.153923501296797,-0.9891202377350727,-1.170744740187321,39.5438747,-123.04802923
1987NIELON,122,NIELON,1987,no,Forest,USF,KNF,100.0,649,199,30.6,186,19870830,19870921.0,0.00290618697399389,NA,NA,NA,NA,NA,34.53435668945315,17.608789062500023,37.59624099731445,57.03582763671875,-0.5777894746177729,-0.4947533577035019,-0.5998330220187973,41.35148646,-123.1042837
1987PALMER,123,PALMER,1987,no,Forest,USF,TNF,57.56,862,187,21.7,105,19870829,19870908.0,0.00668563532592155,27.2,16.7,9.1,NA,NA,35.2149597167969,15.907678222656273,39.41216278076172,77.45698547363281,-0.11091749094206682,-0.006058336201452716,-0.1007521508278711,39.44627675,-120.76158968
1987PAPER_CMPLX,126,PAPER 87 CMPLX,1987,no,Forest,USF,STF,71.61,15232,4120,27.1,1775,19870831,19871012.0,0.00294865504851201,33.9,23.9,19.9,NA,NA,33.4885192871094,17.656365966796898,29.247051239013672,68.51880645751953,-0.7073120868953906,-0.6480282508949706,-0.7112338217112484,37.93225687,-120.13608255
1987PEANUT,127,PEANUT,1987,no,Forest,USF,SHF,84.67,2608,599,23.0,208,19870830,19870912.0,0.00667322038651171,NA,NA,NA,NA,NA,38.72954711914065,12.926171875000023,65.14112854003906,56.00004196166992,-0.0592793697071914,0.1313585279631214,-0.08301278038366196,40.47938342,-123.20132772
1987PIERCE,128,PIERCE,1987,no,Forest,CDF,TUU,74.57,290,37,12.7,13,19870829,19870905.0,0.0125372390104163,26.1,13.9,7.5,NA,NA,29.396478271484398,14.640222167968773,42.38990020751953,62.75075912475586,0.14746210685977473,0.11421237511003642,0.1343247882878885,36.67541805,-118.93735917
1987QUAKING,130,QUAKING,1987,no,Forest,USF,MDF,96.75,1787,464,25.9,201,19870715,19870721.0,0.00721039127532091,33.3,18.3,30.5,NA,NA,34.00667724609377,14.715936279296898,60.42848205566406,53.73773193359375,0.1374803147215394,0.21020311621872675,0.11019207585020357,41.46139533,-121.32395739
1987RIPSTEIN,131,RIPSTEIN,1987,no,Forest,USF,SHF,100.0,1378,459,33.3,189,19870830,19870926.0,0.00509196041675799,41.7,13.3,20.9,NA,NA,32.7592712402344,16.101251220703148,31.39263153076172,63.91209411621094,0.09414027717654064,0.13194122032646505,0.08298194931582097,40.90730818,-123.04431415
1987RIVER,132,RIVER II,1987,no,Forest,USF,STF,93.81,285,7,2.6,6,19870830,19870904.0,0.0217858641340565,40.0,15.0,18.4,NA,NA,35.2647644042969,16.916650390625023,46.67045974731445,61.3648796081543,0.28439107361393373,0.40135370077560933,0.26899320083826883,38.02309652,-120.18955638
1987SAINT_CLAIRE,134,SAINT CLAIRE,1987,no,Forest,USF,KNF,100.0,3497,114,3.2,17,19870830,19871010.0,0.0207386645408269,39.4,14.4,6.2,NA,NA,37.60308227539065,17.062646484375023,34.73349380493164,62.68798065185547,0.259820391577963,0.4340040186340313,0.24651756665892538,41.1019831,-123.1914079
1987SLATER,136,SLATER,1987,no,Forest,USF,KNF,96.89,2577,328,12.7,99,19870830,19870920.0,0.00980671112858863,42.2,12.2,4.1,NA,NA,40.33742675781252,19.202813720703148,40.18416976928711,76.32703399658203,-0.09817426915359523,0.13791086281907455,-0.08985737038036765,41.83371169,-123.345545
1987SLIDES,137,SLIDES,1987,no,Forest,USF,MNF,100.0,398,8,2.0,8,19870901,19870919.0,NA,37.8,12.2,32.7,NA,NA,29.762872314453148,17.845605468750023,38.135746002197266,62.45378494262695,NA,NA,NA,40.08280256,-122.85087975
1987SNAG_CMPLX,138,SNAG COMPLEX,1987,no,Forest,NPS,LNP,0.0,325,29,8.9,11,19870901,19870909.0,0.0182257245437484,31.7,12.2,21.7,NA,NA,29.045495605468773,8.575555419921898,54.29226303100586,69.11275482177734,0.36521752743814945,0.32549170087825924,0.362107377662851,40.51522169,-121.32203278
1987STRAUSE,139,STRAUSE,1987,no,Forest,USF,SHF,100.0,2646,783,29.6,193,19870830,19871013.0,0.00547946262370704,39.4,14.4,16.6,NA,NA,31.743096923828148,15.052270507812523,33.22280502319336,64.97926330566406,0.015224268084714358,0.0301170503904593,0.005726536815118479,40.99562277,-123.09996497
1987TEN_BALD,140,TEN BALD,1987,no,Forest,USF,KNF,100.0,7946,969,12.2,86,19870830,19871015.0,0.00941060015002436,42.2,12.2,13.7,NA,NA,38.17934570312502,19.315270996093773,25.345083236694336,73.38868713378906,-0.1599801941986012,0.02326390301244518,-0.15631017436187952,41.76661247,-123.5325782
1987THOMPSON,141,THOMPSON,1987,no,Forest,USF,KNF,100.0,2039,88,4.3,13,19870830,19871020.0,0.0163716444408818,42.2,12.2,14.6,NA,NA,37.91018066406252,19.000573730468773,27.516475677490234,75.91175842285156,0.06863794940534833,0.2497550121056996,0.07623997701915866,41.93287587,-123.40899535
