,name,width,area_ha,prop.hs
224,1987CLARK,280,761.3615911,0.131549805
225,1987CLARK,290,719.4867141,0.124314568
226,1987CLARK,300,679.7725973,0.117452671
227,1987CLARK,310,641.7663681,0.110885868
228,1987CLARK,320,605.1676033,0.104562249
229,1987CLARK,330,570.4060342,0.098556065
230,1987CLARK,340,537.8039247,0.092922998
231,1987CLARK,350,506.9243557,0.087587555
232,1987CLARK,360,477.2984716,0.082468727
233,1987CLARK,370,449.1612141,0.077607107
234,1987CLARK,380,422.3439723,0.072973562
235,1987CLARK,390,396.7795102,0.068556476
236,1987CLARK,400,373.0156498,0.064450501
237,1987CLARK,410,350.8628124,0.060622883
238,1987CLARK,420,330.2285747,0.057057652
239,1987CLARK,430,311.1247791,0.053756854
240,1987CLARK,440,293.1728405,0.050655077
241,1987CLARK,450,276.0113816,0.047689881
242,1987CLARK,460,259.645619,0.044862167
243,1987CLARK,470,244.0496385,0.042167457
244,1987CLARK,480,229.1288603,0.039589411
245,1987CLARK,490,214.8139561,0.037116049
246,1987CLARK,500,201.1577217,0.034756493
247,1987CLARK,510,188.1798009,0.032514138
248,1987CLARK,520,176.1031865,0.030427513
249,1987CLARK,530,164.5866343,0.028437657
250,1987CLARK,540,153.4957925,0.026521356
251,1987CLARK,550,142.8206449,0.024676879
252,1987CLARK,560,132.6480371,0.022919233
253,1987CLARK,570,122.9641136,0.021246022
254,1987CLARK,580,113.7435596,0.019652874
255,1987CLARK,590,104.9689129,0.01813677
256,1987CLARK,600,96.59798023,0.016690421
257,1987CLARK,610,88.69358773,0.015324682
258,1987CLARK,620,81.31613835,0.014049989
259,1987CLARK,630,74.40412392,0.012855716
260,1987CLARK,640,67.91827504,0.011735076
261,1987CLARK,650,61.86014673,0.010688338
262,1987CLARK,660,56.23331373,0.009716121
263,1987CLARK,670,51.06824935,0.008823689
264,1987CLARK,680,46.56786488,0.008046103
265,1987CLARK,690,42.57417386,0.007356064
266,1987CLARK,700,38.88411047,0.006718486
267,1987CLARK,710,35.40198331,0.006116836
268,1987CLARK,720,32.10715287,0.005547548
269,1987CLARK,730,28.99022603,0.005008998
270,1987CLARK,740,26.11530377,0.004512262
271,1987CLARK,750,23.38076717,0.004039783
272,1987CLARK,760,20.72835479,0.003581493
273,1987CLARK,770,18.23203285,0.003150173
274,1987CLARK,780,16.12354956,0.002785864
275,1987CLARK,790,14.1840699,0.002450756
276,1987CLARK,800,12.38556327,0.002140006
277,1987CLARK,810,10.69303206,0.001847567
278,1987CLARK,820,9.124388561,0.001576533
279,1987CLARK,830,7.689418819,0.001328595
280,1987CLARK,840,6.3741492,0.00110134
281,1987CLARK,850,5.167883869,0.000892919
282,1987CLARK,860,4.059355349,0.000701385
283,1987CLARK,870,3.039665712,0.0005252
284,1987CLARK,880,2.116637569,0.000365718
285,1987CLARK,890,1.354601297,0.000234051
286,1987CLARK,900,0.767743477,0.000132652
287,1987CLARK,910,0.374741767,6.47E-05
288,1987CLARK,920,0.140510069,2.43E-05
289,1987CLARK,930,0.019490608,3.37E-06
290,1987CLARK,940,0,0
291,1987DOG_CREEK,0,11.87999963,1
292,1987DOG_CREEK,10,7.62823732,0.642107538
293,1987DOG_CREEK,20,4.416783236,0.371783112
294,1987DOG_CREEK,30,2.247443051,0.189178714
295,1987DOG_CREEK,40,1.22721172,0.103300653
296,1987DOG_CREEK,50,0.655188638,0.05515056
297,1987DOG_CREEK,60,0.25574133,0.021527049
298,1987DOG_CREEK,70,0.039605832,0.003333824
299,1987DOG_CREEK,80,0,0
300,1987FROG,0,69.83998932,1
301,1987FROG,10,46.87443323,0.671168963
302,1987FROG,20,29.65097343,0.424555813
303,1987FROG,30,17.74455084,0.254074364
304,1987FROG,40,10.24690027,0.146719671
305,1987FROG,50,5.235603469,0.074965697
306,1987FROG,60,2.276713093,0.03259899
307,1987FROG,70,0.757537418,0.010846757
308,1987FROG,80,0.191390248,0.002740411
309,1987FROG,90,0.014422466,0.000206507
310,1987FROG,100,0,0
311,1987GLEN_AULIN,0,24.03000297,1
312,1987GLEN_AULIN,10,17.50145727,0.7283169
313,1987GLEN_AULIN,20,12.15824992,0.505961233
314,1987GLEN_AULIN,30,8.11404221,0.337662972
315,1987GLEN_AULIN,40,5.339655959,0.222207878
316,1987GLEN_AULIN,50,3.114825909,0.129622369
317,1987GLEN_AULIN,60,1.481475665,0.061651081
318,1987GLEN_AULIN,70,0.810488928,0.033728208
319,1987GLEN_AULIN,80,0.434994808,0.018102154
320,1987GLEN_AULIN,90,0.167610204,0.006975039
321,1987GLEN_AULIN,100,0.031969446,0.001330397
322,1987GLEN_AULIN,110,0,0
323,1987LIGHTNING120,0,934.1101009,1
324,1987LIGHTNING120,10,877.4852689,0.939380987
325,1987LIGHTNING120,20,828.2190191,0.886639614
326,1987LIGHTNING120,30,786.1134133,0.841563979
327,1987LIGHTNING120,40,749.0875811,0.801926433
328,1987LIGHTNING120,50,714.9242102,0.765353259
329,1987LIGHTNING120,60,683.6435919,0.731866181
330,1987LIGHTNING120,70,654.5098703,0.700677436
331,1987LIGHTNING120,80,627.2175633,0.671459995
332,1987LIGHTNING120,90,601.0728157,0.643471059
333,1987LIGHTNING120,100,575.9038176,0.6165267
334,1987LIGHTNING120,110,551.5867749,0.590494391
335,1987LIGHTNING120,120,528.1873997,0.565444479
336,1987LIGHTNING120,130,506.1030671,0.541802371
337,1987LIGHTNING120,140,485.2915127,0.519522819
338,1987LIGHTNING120,150,465.2752261,0.498094631
339,1987LIGHTNING120,160,446.0601488,0.477524168
340,1987LIGHTNING120,170,427.3609883,0.457506013
