"","name","width","area_ha","prop.hs","q","q.name"
"2233","2008CORRAL",600,0.116745485188426,6.64671010686366e-05,-0.00400749772308628,"-0.0040"
"2234","2008CORRAL",610,0.0130560494377064,7.43324468721448e-06,-0.00400749772308628,"-0.0040"
"2235","2008CORRAL",620,0,0,-0.00400749772308628,"-0.0040"
"2236","2008HIDDEN",0,74.2499929564468,1,-0.0195241758483518,"-0.0195"
"2237","2008HIDDEN",10,48.8985566994462,0.658566482667936,-0.0195241758483518,"-0.0195"
"2238","2008HIDDEN",20,30.7568849722159,0.414234180335305,-0.0195241758483518,"-0.0195"
"2239","2008HIDDEN",30,19.0601237760537,0.256702028069334,-0.0195241758483518,"-0.0195"
"2240","2008HIDDEN",40,11.8655084881332,0.15980484328252,-0.0195241758483518,"-0.0195"
"2241","2008HIDDEN",50,7.34635410113053,0.0989408053606108,-0.0195241758483518,"-0.0195"
"2242","2008HIDDEN",60,4.63177742801504,0.062380846698961,-0.0195241758483518,"-0.0195"
"2243","2008HIDDEN",70,2.6897387802283,0.036225441553995,-0.0195241758483518,"-0.0195"
"2244","2008HIDDEN",80,1.33659548449705,0.0180012876941424,-0.0195241758483518,"-0.0195"
"2245","2008HIDDEN",90,0.542895841576704,0.0073117291996937,-0.0195241758483518,"-0.0195"
"2246","2008HIDDEN",100,0.156991085062825,0.00211435824855784,-0.0195241758483518,"-0.0195"
"2247","2008HIDDEN",110,0.0203668274523073,0.00027430073244928,-0.0195241758483518,"-0.0195"
"2248","2008HIDDEN",120,0,0,-0.0195241758483518,"-0.0195"
"2249","2008MILL",0,799.91975968717,1,-0.0179608953365217,"-0.0180"
"2250","2008MILL",10,542.441422495446,0.678119793799796,-0.0179608953365217,"-0.0180"
"2251","2008MILL",20,348.945214643541,0.436225271869775,-0.0179608953365217,"-0.0180"
"2252","2008MILL",30,217.994879007555,0.272520932715561,-0.0179608953365217,"-0.0180"
"2253","2008MILL",40,142.104576470079,0.177648538805508,-0.0179608953365217,"-0.0180"
"2254","2008MILL",50,97.3608494756269,0.121713269733082,-0.0179608953365217,"-0.0180"
"2255","2008MILL",60,69.5291936285034,0.086920210166698,-0.0179608953365217,"-0.0180"
"2256","2008MILL",70,52.3881505959566,0.0654917570937919,-0.0179608953365217,"-0.0180"
"2257","2008MILL",80,39.9990628490023,0.050003843966356,-0.0179608953365217,"-0.0180"
"2258","2008MILL",90,30.2429666798011,0.0378075004568313,-0.0179608953365217,"-0.0180"
"2259","2008MILL",100,22.8321253654994,0.0285430195828999,-0.0179608953365217,"-0.0180"
"2260","2008MILL",110,17.4407119950043,0.0218030768508894,-0.0179608953365217,"-0.0180"
"2261","2008MILL",120,13.4526452949274,0.0168174934198256,-0.0179608953365217,"-0.0180"
"2262","2008MILL",130,10.2141486755826,0.0127689665768191,-0.0179608953365217,"-0.0180"
"2263","2008MILL",140,7.6843779838215,0.00960643600906506,-0.0179608953365217,"-0.0180"
"2264","2008MILL",150,5.54869561653723,0.00693656526087967,-0.0179608953365217,"-0.0180"
