VB_ID,ID_Num,fire_name,fire_year,class,veg_type,agency,ICS_code,pct_fs,firesize_ha,BA90_ha,BA90_pct,max_patch_ha,ignition_date,contain_date,sdc,awmsi,awmpfd,max_tmmx,max_tmmn,min_rmax,max_bi,region,fire_year_std,max_tmmx_std,max_tmmn_std,min_rmax_std,max_bi_std
2006TAMARACK,702,TAMARACK WFU,2006,WFU,Forest,USFS,SQF,100.0,1891,133,7.0,26,20060709,20061211.0,0.016706542079012385,0.032275482560951196,1.35207819906004,27.784051513671898,12.257531738281273,27.09125518798828,92.126861572265625,SCSN,0.5867124210134725,-0.6181273947488751,-0.5507429726857994,-0.7684590759164498,1.7008066641845225
2006TITUS,703,TITUS,2006,SUP,Forest,USFS,KNF,100.0,2499,402,16.1,76,20060725,20060930.0,0.009569511218142061,0.02137972287424317,1.3572930869433777,33.02114257812502,18.702111816406273,18.10421371459961,74.1690444946289,NW,0.5867124210134725,0.34277065039137244,0.9671639527194688,-1.517475927742742,0.31737973052992485
2006UNCLES,704,UNCLES,2006,SUP,Forest,USFS,KNF,100.0,1571,375,23.9,236,20060723,20061113.0,0.006430790596703665,0.01555290022211435,1.3788778812785887,33.76726684570315,20.471551513671898,19.279747009277344,74.062286376953125,NW,0.5867124210134725,0.4796690432823858,1.3839241974533536,-1.4195021673897141,0.30915534252438787
2007ANGORA,706,ANGORA,2007,SUP,Forest,USFS,TMU,88.89,1264,613,48.5,472,20070624,20070701.0,0.0035832717875211584,0.008959157830820262,1.3493613066256338,24.759881591796898,6.483056640625023,51.63483428955078,66.865234375,SCSN,0.6915688559416963,-1.1730001151843883,-1.9108185144676972,1.2771033492305865,-0.24528819253165587
2007ANTELOPE_CMPLX,707,ANTELOPE CMPLX,2007,SUP,Forest,USFS,PNF,98.05,9369,4860,51.9,3683,20070705,20070713.0,0.002844917201857389,0.00880217595899235,1.397773546774988,34.14486083984377,15.877557373046898,25.39004898071289,74.32634735107422,SCSN,0.6915688559416963,0.5489497425028246,0.301890079358459,-0.9102445702255458,0.32949796335334813
2007BABCOCK,708,BABCOCK,2007,WFU,Forest,NPS,YNP,0.0,107,5,5.0,2,20070711,20070920.0,0.035293706917133544,0.05875705347121579,1.3618606880429798,23.138452148437523,12.167840576171898,25.319299697875977,86.6286392211914,SCSN,0.6915688559416963,-1.4704989295609447,-0.5718681405730881,-0.9161411052817585,1.2772368697705796
2007BALD,709,BALD WFU,2007,WFU,Forest,NPS,YNP,0.0,169,26,15.5,12,20070830,20070905.0,0.01479893979367742,0.027625574514822438,1.329145874742511,27.036248779296898,16.810449218750023,42.47325134277344,60.46918487548828,SCSN,0.6915688559416963,-0.7553337516306041,0.5216162641650357,0.5135394960025736,-0.7380244259144828
2007CHINA,712,CHINA,2007,SUP,Forest,USFS,KNF,92.83,1198,218,18.2,80,20070914,20070920.0,0.008096710196652751,0.018000282076095712,1.3437867368937528,25.850671386718773,8.435113525390648,83.87569427490234,55.86721420288086,NW,0.6915688559416963,-0.9728627166362476,-1.451046019091575,3.964188695159747,-1.0925491517678276
2007COLBY,713,COLBY,2007,SUP,Forest,USFS,LNF,100.0,118,19,15.8,13,20070810,20070819.0,0.01723314149758175,0.02898549183474042,1.3574989149018215,29.374169921875023,12.064294433593773,34.37992858886719,76.550445556640625,SCSN,0.6915688559416963,-0.326373508635486,-0.5962566042143167,-0.16099117662146126,0.5008371270930841
2007ELK,715,ELK,2007,SUP,Forest,USFS,KNF,100.0,466,65,13.9,24,20070710,20070804.0,0.01145311797768383,0.02650043519808481,1.3253356465015422,33.31997070312502,18.872918701171898,43.889869689941406,57.28824234008789,NW,0.6915688559416963,0.3975994394293209,1.0073944953071363,0.6316062722355567,-0.983076569994991
2007ELK_CMPLX,716,ELK CMPLX,2007,SUP,Forest,USFS,KNF,99.08,5532,784,14.2,196,20070710,20071206.0,0.010991295604693667,0.02454694285897762,1.3543791052944294,39.68129882812502,18.774011230468773,38.179473876953125,65.0825424194336,NW,0.6915688559416963,1.5647717655508782,0.9840985888346278,0.15567849253279298,-0.3826224829455613
2007FLETCHER,717,FLETCHER,2007,SUP,Forest,USFS,MDF,27.42,3298,2474,75.0,1490,20070710,20070719.0,0.002441264619449296,0.005917029689646822,1.3589926983031946,32.8410583496094,15.401330566406273,40.98585891723633,68.51978302001953,SCSN,0.6915688559416963,0.30972891386023127,0.18972327266191577,0.3895741181521473,-0.11782575382510406
2007GOLDLEDGE,718,GOLDLEDGE,2007,SUP,Forest,USFS,SQF,100.0,1781,966,54.3,866,20070603,20070622.0,0.003072124792560424,0.008808513389141985,1.3690080731176337,29.174737548828148,13.495263671875023,31.39737319946289,107.88996887207031,SCSN,0.6915688559416963,-0.36296523007778514,-0.25921709341643706,-0.40956956081876905,2.9151584477202896
2007GROUSE,720,GROUSE,2007,SUP,Forest,USFS,SQF,100.0,449,159,35.5,82,20070827,20071218.0,0.007691344007578704,0.016291289599120396,1.342456274491476,24.101220703125023,12.407098388671898,28.31622886657715,73.24705505371094,SCSN,0.6915688559416963,-1.293850784486476,-0.5155151918706915,-0.6663647514356325,0.24635188680055098
2007LITTLEGRIDER,727,LITTLE GRIDER,2007,SUP,Forest,USFS,KNF,99.36,891,47,5.2,6,20070710,20071206.0,0.022939688924632273,0.04084779456260574,1.3471339644921057,39.86470947265627,18.017114257812523,41.7914924621582,64.78922271728516,NW,0.6915688559416963,1.5984238307181649,0.8058248855544186,0.45671891806542814,-0.40521912564268664
2007MOONLIGHT,729,MOONLIGHT,2007,SUP,Forest,USFS,PNF,71.17,26390,14706,55.7,5136,20070903,20070925.0,0.0017789716469946743,0.0067354225608814424,1.3656394719993756,28.333856201171898,11.159020996093773,24.789159774780273,85.3499984741211,SCSN,0.6915688559416963,-0.5172495900810157,-0.8094777611413437,-0.9603251381918516,1.178733469256039
2007OHAREL,731,OHAREL,2007,WFU,Forest,USFS,INF,100.0,264,5,1.9,3,20071029,20071218.0,0.02320785464064747,0.04404758286946176,1.3258421421087463,14.257012939453148,3.8178039550781477,31.39857292175293,59.982215881347656,SCSN,0.6915688559416963,-3.100059590033477,-2.5385716745345093,-0.40946957104845233,-0.7755393432029424
2007VISTA,740,VISTA,2007,SUP,Forest,USFS,SQF,100.0,170,47,27.8,36,20070822,20070826.0,0.012182684390721286,0.02285715520485039,1.370394377023117,24.961785888671898,8.500665283203148,38.09017562866211,77.30225372314453,SCSN,0.6915688559416963,-1.1359548467739442,-1.4356064612072958,0.14823601070975995,0.5587546157269454
2007WALLOW,741,WALLOW,2007,SUP,Forest,USFS,SHF,54.7,582,242,41.5,109,20070829,20070903.0,0.005275667929818899,0.01326932111863045,1.3231162371992142,33.97124633789065,19.178918457031273,41.320167541503906,72.42974853515625,NW,0.6915688559416963,0.51709506717226,1.079467329062102,0.41743676839458166,0.18338856303287032
2008ANTHONYMILNE,746,ANTHONY MILNE,2008,SUP,Forest,USFS,KNF,100.0,777,59,7.7,33,20080628,20081216.0,0.009999380523467195,0.021583459497259046,1.3349961188084427,35.36409912109377,19.336572265625023,17.974822998046875,82.10783386230469,NW,0.7964252908699199,0.7726547853586373,1.1165998970463598,-1.5282598801095864,0.9289649240070585
2008BACK,747,BACK,2008,SUP,Forest,USFS,MNF,84.36,636,41,6.4,7,20080621,20080629.0,0.019417570491569905,0.03501833147842689,1.3364484239697332,34.77803955078127,17.513604736328148,35.54887008666992,72.25008392333984,NW,0.7964252908699199,0.6651249584913208,0.6872321176155357,-0.0635668036233053,0.16954763448699806
2008BONANZA,752,BONANZA,2008,SUP,Forest,USFS,SRF,100.0,555,6,1.0,3,20080621,20080705.0,0.02668044616043938,0.05291006266257368,1.3482057994590926,31.373559570312523,16.457025146484398,42.484657287597656,63.40724182128906,NW,0.7964252908699199,0.04047319710493823,0.43837347093513074,0.5144901141687007,-0.511683602090551
2008BUCKHORN,753,BUCKHORN,2008,SUP,Forest,USFS,SHF,99.18,12343,2093,17.0,309,20080621,20080801.0,0.006225617381736966,0.016246858876512487,1.344042354061464,34.69158325195315,17.898583984375023,35.50111389160156,66.82727813720703,NW,0.7964252908699199,0.6492620132968245,0.7779071747431802,-0.06754700055365476,-0.24821224958357802
2008CAREY,755,CAREY,2008,SUP,Forest,USFS,SHF,99.99,1527,220,14.4,53,20080621,20080801.0,0.009620121474975832,0.023905029749077624,1.329302209627327,31.437127685546898,17.234155273437523,32.06901168823242,66.0796127319336,NW,0.7964252908699199,0.05213663333513091,0.6214127360762697,-0.35359245779625065,-0.3058105898799129
2008CARIBOU,756,CARIBOU,2008,SUP,Forest,USFS,KNF,100.0,5319,1084,20.4,133,20080621,20081216.0,0.0075503889226108374,0.01762528207737395,1.339375527598273,34.6407409667969,18.473077392578148,23.205808639526367,70.532562255859375,NW,0.7964252908699199,0.6399335040507846,0.913218942513922,-1.0922881080051297,0.037233905949980856
2008CASCADEL,757,CASCADEL,2008,SUP,Forest,USFS,SNF,100.0,112,30,27.0,30,20080911,20080917.0,0.01055677707343647,0.018039217965656516,1.3507497739360559,29.330621337890648,15.827355957031273,30.41421127319336,65.47908020019531,SCSN,0.7964252908699199,-0.3343637743582344,0.29006602315750973,-0.4915103032789468,-0.3520741683176913
