"","ID_Num","VB_ID","FIRE_NAME","FIRE_YEAR","WFU","Veg","NUM_ASSESS","AGENCY","ICS_CODE","PCT_FS","FIRESIZE_HA","BA90_HA","BA90_PCT","BA90_PCT_integer","MaxPatch_HA","MaxPatch_PCT_of_HS","MaxPatch_PCT_of_firesize","TCA100_BA90_HA","TCA100_Pct_of_fireSize","TCA100_Pct_of_BA90","TCA200_BA90_HA","TCA200_Pct_of_fireSize","TCA200_Pct_of_BA90","SDI_LOG","SEI_LOG","SDI_LOG200","SEI_LOG200","SDI_LOGMN1MX200","SEI_LOGMN1MX200","SIMDI_LOGMX200","SIMDI_LOGMN1MX200","SDI_LIN5","SEI_LIN5","SEI_LIN5_MaxP_GT_40ha","Nptype_LIN5","SDI_LIN5_max400","SEI_LIN5_max400","SDI_LIN5_max200","SEI_LIN5_max200","SDI_LIN5_min1max200","SEI_LIN5_min1max200","SIMDI_LIN5MAX200","SIMDI_LIN5MIN1MAX200","MPS","N","MEDPS","PSCOV","PSSD","q"
"90",83,"1988EAST_LECONTE","EAST LECONTE",1988,"yes","Forest",1,"NPS","YNP",0,1519,20,1.3,1,11,53.6,0.7,0.3,0,1.3,0,0,0,0.691,0.996,1.478,0.76,0.789,0.718,0.67,0.449,0.691,0.996,NA,2,0.691,0.996,0.691,0.996,0.601,0.868,0.497,0.411,0.86,23,0.18,251.606,2.166,-0.0174000282558147
"91",84,"1988ECHO","ECHO",1988,"yes","Forest",1,"NPS","YNP",0,577,35,6,6,7,20.5,1.2,0,0,0,0,0,0,0.654,0.944,1.658,0.852,1.024,0.932,0.774,0.616,0.654,0.944,NA,2,0.654,0.944,0.654,0.944,0.693,1,0.461,0.5,0.89,39,0.36,172.172,1.53,-0.0251103616180448
"92",85,"1988ELBOW","ELBOW",1988,"yes","Forest",1,"NPS","YNP",0,184,3,1.7,1,3,100,1.7,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,0,NA,NA,NA,0,NA,0,NA,0,NA,0,0,3.15,1,3.15,0,0,-0.018843626068605
"96",414,"1988LIGHTNING97","LIGHTNING #97 (BISON)",1988,"no","Forest",1,"CDF","LMU",NA,1386,769,55.5,55,689,89.6,49.7,305.3,22,39.7,105.7,7.6,13.7,NA,NA,0.509,0.221,NA,NA,0.195,NA,NA,NA,NA,NA,NA,NA,0.478,0.297,NA,NA,0.195,NA,22.632,34,0.495,513.305,116.173,-0.00201191421885918
"98",89,"1988QUARTZITE","QUARTZITE",1988,"yes","Forest",1,"NPS","YNP",0,248,42,17.1,17,11,25.5,4.4,0.1,0,0.2,0,0,0,0.962,0.876,1.59,0.765,1.283,0.926,0.757,0.699,0.962,0.876,NA,3,0.962,0.876,0.962,0.876,1.01,0.92,0.572,0.606,2.12,20,0.945,128.442,2.722,-0.019011299500537
"99",90,"1988SIMPSON","SIMPSON",1988,"yes","Forest",1,"NPS","KNP",0,492,10,2,1,7,72.9,1.4,0,0,0,0,0,0,0.584,0.843,0.719,0.519,0.554,0.8,0.413,0.368,0.584,0.843,NA,2,0.584,0.843,0.584,0.843,0.554,0.8,0.395,0.368,1.61,6,0.63,153.479,2.463,-0.020083557227202
"101",94,"1988USFS_ASSIST3","USFS ASSIST 3",1988,"no","Forest",1,"CDF","NEU",88,244,7,3.1,3,5,71.1,2.2,0,0,0,0,0,0,0.601,0.868,0.798,0.726,0.489,0.705,0.452,0.31,0.601,0.868,NA,2,0.601,0.868,0.601,0.868,0.489,0.705,0.411,0.31,2.49,3,1.26,80.299,1.999,-0.0232678142632967
"102",95,"1988VERN","VERN",1988,"yes","Forest",1,"NPS","YNP",0,289,4,1.3,1,3,72.1,1,0,0,0,0,0,0,0,NA,0.672,0.612,0,NA,0.414,0,0,NA,NA,NA,0,NA,0,NA,0,NA,0,0,1.29,3,0.99,87.015,1.122,-0.0213010532247412
"103",96,"1988WALKER","WALKER",1988,"no","Forest",1,"NPS","YNP",0,1247,283,22.7,22,176,62.1,14.1,61.5,4.9,21.7,6.6,0.5,2.3,1.129,0.702,1.236,0.537,1.078,0.602,0.573,0.541,1.219,0.681,0.681,6,1.219,0.681,1.219,0.681,1.157,0.646,0.577,0.55,6.43,44,0.36,415.394,26.722,-0.00487047219410367
"108",100,"1990A_ROCK","A-ROCK",1990,"no","Forest",1,"NPS","YNP",59,7281,2682,36.8,36,1513,56.4,20.8,1182.7,16.2,44.1,549.7,7.5,20.5,1.408,0.677,1.058,0.426,0.998,0.48,0.438,0.426,1.598,0.643,0.643,12,1.598,0.643,1.069,0.464,1.046,0.454,0.439,0.427,17.53,153,0.54,714.135,125.163,-0.00216668439849787
